"Provinsi","Kota","Jumlah AHH","AHH","Jumlah RLS","RLS","Jumlah HLS","HLS","Pengeluaran","PPK","Jumlah IPM","IPM"
"Aceh","Simeuleu","69.57","Sedang","9.81","Sedang","14.28","Tinggi","  7,686.00 ","Rendah","68.06","=IF(K2>=80,""Sangat Tinggi"",IF(K2>=70,""Tinggi"",IF(K2>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Singkil","69.85","Sedang","8.7","Sedang","14.35","Tinggi","  9,374.00 ","Sedang","70.14","=IF(K3>=80,""Sangat Tinggi"",IF(K3>=70,""Tinggi"",IF(K3>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Selatan","70.33","Tinggi","8.91","Sedang","14.7","Tinggi","  8,712.00 ","Sedang","68.44","=IF(K4>=80,""Sangat Tinggi"",IF(K4>=70,""Tinggi"",IF(K4>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Tenggara","72.62","Tinggi","10.09","Tinggi","14.27","Tinggi","  8,566.00 ","Sedang","71.05","=IF(K5>=80,""Sangat Tinggi"",IF(K5>=70,""Tinggi"",IF(K5>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Timur","72.13","Tinggi","8.47","Sedang","13.07","Tinggi","  9,436.00 ","Sedang","69.32","=IF(K6>=80,""Sangat Tinggi"",IF(K6>=70,""Tinggi"",IF(K6>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Tengah","72.93","Tinggi","9.89","Sedang","14.85","Tinggi","  11,323.00 ","Tinggi","74.60","=IF(K7>=80,""Sangat Tinggi"",IF(K7>=70,""Tinggi"",IF(K7>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Barat","71.89","Tinggi","9.98","Sedang","14.64","Tinggi","  10,085.00 ","Tinggi","72.88","=IF(K8>=80,""Sangat Tinggi"",IF(K8>=70,""Tinggi"",IF(K8>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Besar","73.11","Tinggi","10.36","Tinggi","14.76","Tinggi","  10,309.00 ","Tinggi","74.53","=IF(K9>=80,""Sangat Tinggi"",IF(K9>=70,""Tinggi"",IF(K9>=60,""Sedang"",""Rendah"")))"
"Aceh","Pidie","69.88","Sedang","9.03","Sedang","14.5","Tinggi","  10,584.00 ","Tinggi","71.66","=IF(K10>=80,""Sangat Tinggi"",IF(K10>=70,""Tinggi"",IF(K10>=60,""Sedang"",""Rendah"")))"
"Aceh","Bireuen","73.66","Tinggi","9.32","Sedang","14.87","Tinggi","  9,758.00 ","Sedang","73.63","=IF(K11>=80,""Sangat Tinggi"",IF(K11>=70,""Tinggi"",IF(K11>=60,""Sedang"",""Rendah"")))"
"Aceh","Acceh Utara","72.63","Tinggi","8.85","Sedang","14.74","Tinggi","  8,970.00 ","Sedang","70.87","=IF(K12>=80,""Sangat Tinggi"",IF(K12>=70,""Tinggi"",IF(K12>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Barat Daya","70.47","Tinggi","8.77","Sedang","13.67","Tinggi","  9,043.00 ","Sedang","68.07","=IF(K13>=80,""Sangat Tinggi"",IF(K13>=70,""Tinggi"",IF(K13>=60,""Sedang"",""Rendah"")))"
"Aceh","Gayo Lues","69.8","Sedang","8.42","Sedang","14.34","Tinggi","  9,407.00 ","Sedang","68.93","=IF(K14>=80,""Sangat Tinggi"",IF(K14>=70,""Tinggi"",IF(K14>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Tamiang","73.63","Tinggi","9.24","Sedang","14.23","Tinggi","  9,050.00 ","Sedang","71.35","=IF(K15>=80,""Sangat Tinggi"",IF(K15>=70,""Tinggi"",IF(K15>=60,""Sedang"",""Rendah"")))"
"Aceh","Nagan Raya","72.53","Tinggi","8.96","Sedang","14.17","Tinggi","  9,062.00 ","Sedang","70.78","=IF(K16>=80,""Sangat Tinggi"",IF(K16>=70,""Tinggi"",IF(K16>=60,""Sedang"",""Rendah"")))"
"Aceh","Aceh Jaya","70.76","Tinggi","8.74","Sedang","14.02","Tinggi","  10,461.00 ","Tinggi","70.88","=IF(K17>=80,""Sangat Tinggi"",IF(K17>=70,""Tinggi"",IF(K17>=60,""Sedang"",""Rendah"")))"
"Aceh","Bener Meriah","72.85","Tinggi","10.12","Tinggi","13.72","Tinggi","  11,855.00 ","Tinggi","74.49","=IF(K18>=80,""Sangat Tinggi"",IF(K18>=70,""Tinggi"",IF(K18>=60,""Sedang"",""Rendah"")))"
"Aceh","Pidie Jaya","73.16","Tinggi","9.58","Sedang","14.99","Tinggi","  11,005.00 ","Tinggi","74.80","=IF(K19>=80,""Sangat Tinggi"",IF(K19>=70,""Tinggi"",IF(K19>=60,""Sedang"",""Rendah"")))"
